CurveID,PointID,PosX,PosY,PosZ,TanX,TanY,TanZ
2,25,79.6348,-32.0555,0.0000,0.1646,-0.9864,0.0
2,26,79.7054,-32.4785,0.0000,-0.0053,-1.0000,0.0
2,27,79.7031,-32.9063,0.0000,-0.1568,-0.9876,0.0
2,28,79.6345,-33.3388,0.0000,-0.2820,-0.9594,0.0
2,29,79.5059,-33.7762,0.0000,-0.3804,-0.9248,0.0
2,30,79.3239,-34.2187,0.0000,-0.4552,-0.8904,0.0
2,31,79.0951,-34.6663,0.0000,-0.5111,-0.8595,0.0
2,32,78.8258,-35.1191,0.0000,-0.5518,-0.8340,0.0
2,33,78.5227,-35.5773,0.0000,-0.5805,-0.8143,0.0
2,34,78.1922,-36.0409,0.0000,-0.5994,-0.8004,0.0
2,35,77.8408,-36.5102,0.0000,-0.6102,-0.7922,0.0
2,36,77.4750,-36.9851,0.0000,-0.6137,-0.7895,0.0
2,37,77.1013,-37.4658,0.0000,-0.6105,-0.7920,0.0
2,38,76.7261,-37.9525,0.0000,-0.6005,-0.7996,0.0
2,39,76.3561,-38.4451,0.0000,-0.5836,-0.8121,0.0
2,40,75.9977,-38.9440,0.0000,-0.5589,-0.8293,0.0
2,41,75.6573,-39.4490,0.0000,-0.5254,-0.8509,0.0
2,42,75.3415,-39.9604,0.0000,-0.4817,-0.8763,0.0
2,43,75.0568,-40.4783,0.0000,-0.4263,-0.9046,0.0
2,44,74.8096,-41.0028,0.0000,-0.3625,-0.9320,0.0
2,45,74.6033,-41.5333,0.0000,-0.2969,-0.9549,0.0
2,46,74.4369,-42.0685,0.0000,-0.2307,-0.9730,0.0
2,47,74.3092,-42.6069,0.0000,-0.1644,-0.9864,0.0
2,48,74.2192,-43.1470,0.0000,-0.0987,-0.9951,0.0
2,49,74.1656,-43.6876,0.0000,-0.0340,-0.9994,0.0
2,50,74.1473,-44.2271,0.0000,0.0293,-0.9996,0.0
2,51,74.1630,-44.7640,0.0000,0.0909,-0.9959,0.0
2,52,74.2117,-45.2971,0.0000,0.1507,-0.9886,0.0
2,53,74.2921,-45.8247,0.0000,0.2085,-0.9780,0.0
2,54,74.4032,-46.3455,0.0000,0.2642,-0.9645,0.0
2,55,74.5436,-46.8581,0.0000,0.3180,-0.9481,0.0
2,56,74.7122,-47.3610,0.0000,0.3698,-0.9291,0.0
2,57,74.9079,-47.8528,0.0000,0.4198,-0.9076,0.0
2,58,75.1296,-48.3320,0.0000,0.4680,-0.8837,0.0
2,59,75.3759,-48.7973,0.0000,0.5145,-0.8575,0.0
2,60,75.6459,-49.2471,0.0000,0.5595,-0.8288,0.0
2,61,75.9381,-49.6801,0.0000,0.6023,-0.7983,0.0
2,62,76.2513,-50.0951,0.0000,0.6243,-0.7812,0.0
2,63,76.5740,-50.4989,0.0000,0.6062,-0.7953,0.0
2,64,76.8850,-50.9068,0.0000,0.5439,-0.8392,0.0
2,65,77.1622,-51.3345,0.0000,0.4322,-0.9018,0.0
2,66,77.3840,-51.7973,0.0000,0.2939,-0.9558,0.0
2,67,77.5381,-52.2987,0.0000,0.1605,-0.9870,0.0
2,68,77.6240,-52.8272,0.0000,0.0330,-0.9995,0.0
2,69,77.6420,-53.3706,0.0000,-0.0909,-0.9959,0.0
2,70,77.5922,-53.9164,0.0000,-0.2139,-0.9769,0.0
2,71,77.4748,-54.4523,0.0000,-0.3383,-0.9410,0.0
2,72,77.2902,-54.9660,0.0000,-0.4652,-0.8852,0.0
2,73,77.0384,-55.4451,0.0000,-0.5934,-0.8049,0.0
2,74,76.7198,-55.8772,0.0000,-0.7079,-0.7063,0.0
2,75,76.3407,-56.2555,0.0000,-0.7638,-0.6454,0.0
2,76,75.9353,-56.5980,0.0000,-0.7601,-0.6498,0.0
2,77,75.5465,-56.9304,0.0000,-0.6876,-0.7261,0.0
2,78,75.2171,-57.2782,0.0000,-0.5212,-0.8534,0.0
2,79,74.9821,-57.6630,0.0000,-0.3172,-0.9484,0.0
2,80,74.8405,-58.0863,0.0000,-0.1305,-0.9914,0.0
2,81,74.7803,-58.5439,0.0000,0.0187,-0.9998,0.0
2,82,74.7894,-59.0314,0.0000,0.1284,-0.9917,0.0
2,83,74.8558,-59.5445,0.0000,0.2047,-0.9788,0.0
2,84,74.9676,-60.0789,0.0000,0.2544,-0.9671,0.0
2,85,75.1126,-60.6301,0.0000,0.2828,-0.9592,0.0
2,86,75.2788,-61.1940,0.0000,0.2932,-0.9561,0.0
2,87,75.4543,-61.7662,0.0000,0.2870,-0.9579,0.0
2,88,75.6269,-62.3422,0.0000,0.2643,-0.9644,0.0
2,89,75.7846,-62.9179,0.0000,0.2234,-0.9747,0.0
2,90,75.9155,-63.4889,0.0000,0.1616,-0.9869,0.0
2,91,76.0075,-64.0507,0.0000,0.0746,-0.9972,0.0
2,92,76.0486,-64.5992,0.0000,-0.0412,-0.9991,0.0
2,93,76.0267,-65.1300,0.0000,-0.1871,-0.9823,0.0
2,94,75.9298,-65.6387,0.0000,-0.3562,-0.9344,0.0
2,95,75.7459,-66.1211,0.0000,-0.5308,-0.8475,0.0
2,96,75.4630,-66.5727,0.0000,-0.6871,-0.7266,0.0
