point_index,x,y,arc_length_px
683,736.244,581.374,631.815
684,736.897,581.993,632.714
685,737.540,582.619,633.612
686,738.175,583.252,634.509
687,738.802,583.894,635.406
688,739.419,584.543,636.302
689,740.028,585.200,637.197
690,740.627,585.865,638.092
691,741.217,586.539,638.987
692,741.797,587.220,639.882
693,742.368,587.909,640.777
694,742.928,588.606,641.671
695,743.479,589.312,642.566
696,744.019,590.025,643.461
697,744.549,590.747,644.357
698,745.068,591.477,645.253
699,745.577,592.215,646.149
700,746.075,592.961,647.046
701,746.562,593.715,647.943
702,747.040,594.476,648.842
703,747.506,595.244,649.740
704,747.962,596.019,650.640
705,748.407,596.801,651.540
706,748.842,597.590,652.440
707,749.266,598.386,653.342
708,749.679,599.188,654.244
709,750.081,599.996,655.147
710,750.473,600.810,656.050
711,750.853,601.630,656.955
712,751.223,602.456,657.860
713,751.582,603.288,658.765
714,751.930,604.125,659.672
715,752.268,604.967,660.579
716,752.594,605.814,661.487
717,752.909,606.666,662.396
718,753.214,607.523,663.305
719,753.507,608.385,664.215
720,753.789,609.251,665.126
721,754.061,610.121,666.037
722,754.321,610.995,666.949
723,754.570,611.873,667.861
724,754.808,612.754,668.775
725,755.035,613.639,669.688
726,755.250,614.528,670.603
727,755.454,615.420,671.517
728,755.647,616.314,672.433
729,755.829,617.212,673.349
730,756.000,618.112,674.265
731,756.159,619.015,675.182
732,756.307,619.920,676.099
733,756.443,620.827,677.016
734,756.568,621.737,677.934
735,756.682,622.648,678.852
736,756.784,623.561,679.771
737,756.875,624.475,680.690
738,756.954,625.391,681.609
739,757.021,626.307,682.528
740,757.077,627.225,683.447
741,757.122,628.144,684.367
742,757.155,629.063,685.287
743,757.176,629.983,686.207
744,757.186,630.903,687.127
745,757.184,631.823,688.047
746,757.170,632.743,688.967
747,757.144,633.663,689.888
748,757.107,634.582,690.808
749,757.058,635.501,691.728
750,756.997,636.420,692.649
751,756.924,637.337,693.569
752,756.840,638.253,694.489
753,756.743,639.169,695.409
754,756.635,640.082,696.329
755,756.514,640.994,697.249
756,756.382,641.905,698.169
757,756.237,642.813,699.089
758,756.081,643.720,700.009
759,755.913,644.624,700.929
760,755.732,645.526,701.848
761,755.540,646.425,702.768
762,755.335,647.321,703.688
763,755.118,648.215,704.607
764,754.889,649.105,705.526
765,754.648,649.992,706.446
766,754.394,650.876,707.365
767,754.128,651.756,708.285
768,753.850,652.633,709.204
769,753.560,653.505,710.123
770,753.257,654.373,711.043
771,752.942,655.237,711.962
772,752.615,656.097,712.882
773,752.275,656.952,713.802
774,751.923,657.802,714.722
775,751.558,658.647,715.643
776,751.181,659.487,716.564
777,750.791,660.322,717.485
778,750.389,661.151,718.407
779,749.974,661.975,719.329
780,749.547,662.792,720.252
781,749.107,663.604,721.175
782,748.654,664.410,722.099
783,748.189,665.209,723.024
784,747.711,666.002,723.950
785,747.220,666.788,724.877
786,746.717,667.568,725.804
787,746.201,668.340,726.733
788,745.672,669.105,727.664
789,745.130,669.863,728.595
790,744.575,670.613,729.528
791,744.007,671.356,730.463
792,743.427,672.091,731.399
793,742.833,672.817,732.338
794,742.227,673.536,733.278
795,741.608,674.246,734.220
796,740.975,674.948,735.165
797,740.330,675.641,736.112
798,739.672,676.325,737.061
799,739.000,677.000,738.013
